date,temp,humidity,description,hair_tip
2025-06-24,84.2,68,partly cloudy,"Uh oh. Hair’s starting to puff, wave up, or lose its press. That’s reversion knocking."
2025-06-28,87,57,Partly cloudy,Might get a lil frizzy or swell — especially if your hair drinks up moisture.
